instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time,season_name,weather_type,temp_type,wind_type,hum_type
1,2011-01-01,1,0,1,0,0,6,0,1,9.84,14.395,81.0,0.0,3,13,16,night,spring,clear,cold,weak,humid
2,2011-01-01,1,0,1,1,0,6,0,1,9.02,13.635,80.0,0.0,8,32,40,night,spring,clear,cold,weak,humid
3,2011-01-01,1,0,1,2,0,6,0,1,9.02,13.635,80.0,0.0,5,27,32,night,spring,clear,cold,weak,humid
4,2011-01-01,1,0,1,3,0,6,0,1,9.84,14.395,75.0,0.0,3,10,13,night,spring,clear,cold,weak,optimal
5,2011-01-01,1,0,1,4,0,6,0,1,9.84,14.395,75.0,0.0,0,1,1,morning,spring,clear,cold,weak,optimal
6,2011-01-01,1,0,1,5,0,6,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1,morning,spring,mist,cold,weak,optimal
7,2011-01-01,1,0,1,6,0,6,0,1,9.02,13.635,80.0,0.0,2,0,2,morning,spring,clear,cold,weak,humid
8,2011-01-01,1,0,1,7,0,6,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,morning,spring,clear,cold,weak,humid
9,2011-01-01,1,0,1,8,0,6,0,1,9.84,14.395,75.0,0.0,1,7,8,morning,spring,clear,cold,weak,optimal
10,2011-01-01,1,0,1,9,0,6,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,morning,spring,clear,cold,weak,humid
11,2011-01-01,1,0,1,10,0,6,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36,morning,spring,clear,cold,moderate,humid
12,2011-01-01,1,0,1,11,0,6,0,1,14.76,16.665,81.0,19.0012,26,30,56,noon,spring,clear,cold,moderate,humid
13,2011-01-01,1,0,1,12,0,6,0,1,17.22,21.21,77.0,19.0012,29,55,84,noon,spring,clear,cold,moderate,humid
14,2011-01-01,1,0,1,13,0,6,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94,noon,spring,mist,cold,moderate,optimal
15,2011-01-01,1,0,1,14,0,6,0,2,18.86,22.725,72.0,19.0012,35,71,106,noon,spring,mist,cold,moderate,optimal
16,2011-01-01,1,0,1,15,0,6,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110,afternoon,spring,mist,cold,moderate,humid
17,2011-01-01,1,0,1,16,0,6,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93,afternoon,spring,mist,cold,moderate,humid
18,2011-01-01,1,0,1,17,0,6,0,2,18.04,21.97,82.0,19.0012,15,52,67,afternoon,spring,mist,cold,moderate,humid
19,2011-01-01,1,0,1,18,0,6,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35,afternoon,spring,light rain/snow,cold,moderate,humid
20,2011-01-01,1,0,1,19,0,6,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37,night,spring,light rain/snow,cold,moderate,humid
21,2011-01-01,1,0,1,20,0,6,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,night,spring,mist,cold,moderate,humid
22,2011-01-01,1,0,1,21,0,6,0,2,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,night,spring,mist,cold,moderate,humid
23,2011-01-01,1,0,1,22,0,6,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,night,spring,mist,cold,moderate,very humid
24,2011-01-01,1,0,1,23,0,6,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39,night,spring,mist,cold,moderate,humid
25,2011-01-02,1,0,1,0,0,0,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17,night,spring,mist,cold,moderate,humid
26,2011-01-02,1,0,1,1,0,0,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17,night,spring,mist,cold,moderate,very humid
27,2011-01-02,1,0,1,2,0,0,0,2,17.22,21.21,100.0,19.0012,1,8,9,night,spring,mist,cold,moderate,very humid
28,2011-01-02,1,0,1,3,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,4,6,night,spring,mist,cold,moderate,very humid
29,2011-01-02,1,0,1,4,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,1,3,morning,spring,mist,cold,moderate,very humid
30,2011-01-02,1,0,1,6,0,0,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2,morning,spring,light rain/snow,cold,moderate,humid
31,2011-01-02,1,0,1,7,0,0,0,2,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,morning,spring,mist,cold,moderate,humid
32,2011-01-02,1,0,1,8,0,0,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,morning,spring,light rain/snow,cold,moderate,optimal
33,2011-01-02,1,0,1,9,0,0,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20,morning,spring,mist,cold,moderate,humid
34,2011-01-02,1,0,1,10,0,0,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,morning,spring,mist,cold,moderate,humid
35,2011-01-02,1,0,1,11,0,0,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70,noon,spring,mist,cold,moderate,optimal
36,2011-01-02,1,0,1,12,0,0,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93,noon,spring,mist,cold,moderate,optimal
37,2011-01-02,1,0,1,13,0,0,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75,noon,spring,mist,cold,weak,optimal
38,2011-01-02,1,0,1,14,0,0,0,3,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,noon,spring,light rain/snow,cold,moderate,humid
39,2011-01-02,1,0,1,15,0,0,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74,afternoon,spring,light rain/snow,cold,weak,humid
40,2011-01-02,1,0,1,16,0,0,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76,afternoon,spring,light rain/snow,cold,weak,optimal
41,2011-01-02,1,0,1,17,0,0,0,1,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,afternoon,spring,clear,cold,moderate,dry
42,2011-01-02,1,0,1,18,0,0,0,2,14.76,16.665,46.0,22.0028,10,43,53,afternoon,spring,mist,cold,moderate,dry
43,2011-01-02,1,0,1,19,0,0,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,night,spring,clear,cold,moderate,dry
44,2011-01-02,1,0,1,20,0,0,0,1,12.299999999999999,13.635,39.0,23.9994,5,17,22,night,spring,clear,cold,moderate,dry
45,2011-01-02,1,0,1,21,0,0,0,1,10.66,11.365,44.0,22.0028,11,20,31,night,spring,clear,cold,moderate,dry
46,2011-01-02,1,0,1,22,0,0,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,night,spring,clear,cold,moderate,dry
47,2011-01-02,1,0,1,23,0,0,0,1,9.02,11.365,47.0,11.0014,0,8,8,night,spring,clear,cold,weak,dry
48,2011-01-03,1,0,1,0,0,1,1,1,9.02,9.85,44.0,23.9994,0,5,5,night,spring,clear,cold,moderate,dry
49,2011-01-03,1,0,1,1,0,1,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,night,spring,clear,cold,moderate,dry
50,2011-01-03,1,0,1,4,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,morning,spring,clear,cold,moderate,dry
51,2011-01-03,1,0,1,5,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,morning,spring,clear,cold,moderate,dry
52,2011-01-03,1,0,1,6,0,1,1,1,5.74,5.305,50.0,26.0027,0,30,30,morning,spring,clear,cold,moderate,dry
53,2011-01-03,1,0,1,7,0,1,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,morning,spring,clear,cold,moderate,dry
54,2011-01-03,1,0,1,8,0,1,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,morning,spring,clear,cold,moderate,dry
55,2011-01-03,1,0,1,9,0,1,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,morning,spring,clear,cold,moderate,dry
56,2011-01-03,1,0,1,10,0,1,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,morning,spring,clear,cold,moderate,dry
57,2011-01-03,1,0,1,11,0,1,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,noon,spring,clear,cold,moderate,dry
58,2011-01-03,1,0,1,12,0,1,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,noon,spring,clear,cold,moderate,dry
59,2011-01-03,1,0,1,13,0,1,1,1,9.84,10.605,35.0,19.0012,8,53,61,noon,spring,clear,cold,moderate,dry
60,2011-01-03,1,0,1,14,0,1,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,noon,spring,clear,cold,moderate,dry
61,2011-01-03,1,0,1,15,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,afternoon,spring,clear,cold,moderate,dry
62,2011-01-03,1,0,1,16,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,afternoon,spring,clear,cold,moderate,dry
63,2011-01-03,1,0,1,17,0,1,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,afternoon,spring,clear,cold,moderate,dry
64,2011-01-03,1,0,1,18,0,1,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,afternoon,spring,clear,cold,weak,dry
65,2011-01-03,1,0,1,19,0,1,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,night,spring,clear,cold,weak,dry
66,2011-01-03,1,0,1,20,0,1,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,night,spring,clear,cold,weak,dry
67,2011-01-03,1,0,1,21,0,1,1,1,7.38,9.85,64.0,8.9981,3,49,52,night,spring,clear,cold,weak,optimal
68,2011-01-03,1,0,1,22,0,1,1,1,5.74,7.575,69.0,8.9981,0,20,20,night,spring,clear,cold,weak,optimal
69,2011-01-03,1,0,1,23,0,1,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,night,spring,clear,cold,weak,dry
70,2011-01-04,1,0,1,0,0,2,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,night,spring,clear,cold,weak,dry
71,2011-01-04,1,0,1,1,0,2,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,night,spring,clear,cold,weak,dry
72,2011-01-04,1,0,1,2,0,2,1,1,5.74,7.575,63.0,8.9981,0,1,1,night,spring,clear,cold,weak,optimal
73,2011-01-04,1,0,1,4,0,2,1,1,5.74,9.09,63.0,6.0032,0,2,2,morning,spring,clear,cold,weak,optimal
74,2011-01-04,1,0,1,5,0,2,1,1,4.92,7.575,68.0,7.0015,0,4,4,morning,spring,clear,cold,weak,optimal
75,2011-01-04,1,0,1,6,0,2,1,1,4.92,7.575,74.0,7.0015,0,36,36,morning,spring,clear,cold,weak,optimal
76,2011-01-04,1,0,1,7,0,2,1,1,4.92,7.575,74.0,8.9981,2,92,94,morning,spring,clear,cold,weak,optimal
77,2011-01-04,1,0,1,8,0,2,1,1,5.74,7.575,69.0,11.0014,2,177,179,morning,spring,clear,cold,weak,optimal
78,2011-01-04,1,0,1,9,0,2,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,morning,spring,clear,cold,moderate,optimal
79,2011-01-04,1,0,1,10,0,2,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,morning,spring,mist,cold,moderate,optimal
80,2011-01-04,1,0,1,11,0,2,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,noon,spring,clear,cold,moderate,dry
81,2011-01-04,1,0,1,12,0,2,1,1,9.02,11.365,51.0,11.0014,12,66,78,noon,spring,clear,cold,weak,dry
82,2011-01-04,1,0,1,13,0,2,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,noon,spring,clear,cold,moderate,dry
83,2011-01-04,1,0,1,14,0,2,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,noon,spring,clear,cold,moderate,dry
84,2011-01-04,1,0,1,15,0,2,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,afternoon,spring,clear,cold,moderate,dry
85,2011-01-04,1,0,1,16,0,2,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,afternoon,spring,clear,cold,moderate,dry
86,2011-01-04,1,0,1,17,0,2,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,afternoon,spring,clear,cold,moderate,dry
87,2011-01-04,1,0,1,18,0,2,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,afternoon,spring,clear,cold,moderate,dry
88,2011-01-04,1,0,1,19,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,night,spring,clear,cold,weak,dry
89,2011-01-04,1,0,1,20,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,night,spring,clear,cold,weak,dry
90,2011-01-04,1,0,1,21,0,2,1,1,9.02,13.635,64.0,0.0,0,48,48,night,spring,clear,cold,weak,optimal
91,2011-01-04,1,0,1,22,0,2,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,night,spring,clear,cold,weak,optimal
92,2011-01-04,1,0,1,23,0,2,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,night,spring,clear,cold,weak,optimal
93,2011-01-05,1,0,1,0,0,3,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,night,spring,clear,cold,weak,optimal
94,2011-01-05,1,0,1,1,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,night,spring,clear,cold,weak,optimal
95,2011-01-05,1,0,1,2,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,night,spring,clear,cold,weak,optimal
